call_letters,station_name,frequency,format,market_city,market_state,market_rank,owner,address,phone_main,phone_direct,phone_studio,contact_name,contact_title,contact_email,best_call_days,best_call_time_start,best_call_time_end,timezone,last_called,last_result,follow_up_date,status,notes,verified_date,source
WAPE,Big 95.1,95.1 FM,Pop/Top 40,Jacksonville,FL,42,Cox Media Group,"11700 Central Pkwy, Jacksonville FL 32224",904-245-8500,904-245-8500,833-685-9595,Jud Heussler,Program Director,Jud.Heussler@cmg.com,Tuesday,10:00,11:30,ET,,,,VERIFIED,Hours M-F 8:30am-5:30pm; Promotions Justin Cousart 904-245-8511,2026-04-20,wape.com contact page
WQIK,Country 99.1,99.1 FM,Country,Jacksonville,FL,42,iHeartMedia,"8000 Belfort Pkwy, Jacksonville FL 32256",904-636-0507,,904-388-3699,Casey Carter,Program Director,CaseyCarter@iheartmedia.com,Wednesday,10:00,11:30,ET,,,,VERIFIED,PD appointed March 2026; hours M-F 9:30am-4:30pm,2026-04-20,RadioInsight + WQIK contact page
WRUF,103.7 The Gator,103.7 FM,Country,Gainesville,FL,,University of Florida,"1885 Stadium Road, Gainesville FL 32611",352-392-5551,,352-392-8255,Tommy BoDean,Brand Manager,thomasdean@ufl.edu,Tuesday,10:00,11:30,ET,,,,VERIFIED,Broadcast Ops Director Rob Harder rharder@ufl.edu; UF-owned station,2026-04-20,WRUF.com contact page
WKRO,93.1 Coast Country,93.1 FM,Country,Daytona Beach,FL,,Southern Stone Communications,"1410 LPGA Blvd Suite 148, Daytona Beach FL 32117",386-255-9300,,386-257-2627,Jonathan Wiley,Operations Manager / Program Director,djtremble@sscdaytona.com,Monday,10:00,11:30,ET,,,,VERIFIED,GM Greg Pretko gpretko@sscdaytona.com; M-F 9am-5pm; Bobby Bones morning show,2026-04-20,931coast.com contact page
WVYB,103.3 The Vibe,103.3 FM,Pop/Top 40,Daytona Beach,FL,,Southern Stone Communications,"1410 LPGA Blvd Suite 148, Daytona Beach FL 32117",386-255-9300,,,,,,,,,,,,,UNVERIFIED,Same cluster as WKRO; Southern Stone; contact through main line,2026-04-20,daytonaradio.com
WKDF,103.3 Country,103.3 FM,Country,Nashville,TN,27,Cumulus Media,"506 2nd Ave S, Nashville TN",615-321-1067,,,Travis Daily,Brand & Content Manager,,Monday,10:00,11:30,CT,,,,PARTIAL,Manages both WKDF and WSM-FM 95.5; VP Allison Warren allison.warren@cumulus.com 615-312-3514,2026-04-20,Cumulus press release
WSMF,95.5 Nash Icon,95.5 FM,Classic Country,Nashville,TN,27,Cumulus Media,"10 Music Circle East, Nashville TN 37203",615-321-1067,,,Travis Daily,Brand & Content Manager,,Monday,10:00,11:30,CT,,,,PARTIAL,Same PD as WKDF 103.3; Cumulus Nashville cluster; studio 615-889-6595,2026-04-20,Cumulus press release + 955wsm.com
WSIX,The Big 98,97.9 FM,Country,Nashville,TN,27,iHeartMedia,"1200 Broadway 6th Floor, Nashville TN 37203",615-664-2400,,615-737-9800,Gator Harrison,Senior VP of Programming,,Tuesday,10:00,11:30,CT,,,,PARTIAL,Nashville's #1 for New Country; call in 615-737-9800; WSIX-FM,2026-04-20,iHeart The Big 98 contact page
WQQK,92Q,92.1 FM,Urban R&B / Hip-Hop,Nashville,TN,27,Cumulus Media,"10 Music Circle East, Nashville TN 37203",615-321-1067,,615-737-9292,Kenny Smoov,Program Director,Kenny.Smoov@cumulus.com,Wednesday,10:00,11:30,CT,,,,VERIFIED,VP Allison Warren allison.warren@cumulus.com; Promotions Jennipher Miller,2026-04-20,92qnashville.com station info page
WBUZ,102.9 The Buzz,102.9 FM,Active Rock,Nashville,TN,27,Cromwell Media,"1824 Murfreesboro Pike, Nashville TN 37217",615-399-1029,,615-737-1029,Chris Atticus,Program Director,chris.atticus@cromwellmedia.com,Tuesday,10:00,11:30,CT,,,,VERIFIED,APD Hayley St. John; GM Shawn Fort shawn.fort@cromwellmedia.com,2026-04-20,1029thebuzz.com contact page
WNFN,Y'all 106.7,106.7 FM,Classic Country,Nashville,TN,27,Midwest Communications,"504 Rosedale Ave, Nashville TN 37211",615-259-4567,,615-737-1067,Ron Allen,Brand Manager,,Monday,10:00,11:30,CT,,,,PARTIAL,Flipped from CHR Hot 106.7 to classic country June 2023; fax 615-737-4594,2026-04-20,yall1067.com contact page + RadioInsight
